label,level_1,level_2,level_3,level_4
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/davidsonx-from-database-to-dashboard-using-sql-and-power-bi,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/davidsonx-mastering-ai-leadership-advanced-certificate-in-prompt-engineering-and-professional-ethics,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/davidsonx-storytelling-for-aspiring-entrepreneurs,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/davidsonx-the-authentic-human-in-the-global-workplace,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/davidsonx-understanding-data-to-create-applications,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/decx-blockchain-101,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/decx-digital-asset-101,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delft-university-of-technology-product-design-health,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-ai-in-practice,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-ai-skills-basic-and-advanced-techniques-in-machine-learning,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-analisis-y-visualizacion-de-datos-con-excel,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-automated-software-testing,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-automoviles-electricos,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-biomedical-equipment-repair-maintenance-and-healthcare-technology-management,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-buildings-as-sustainable-energy-systems,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-business-model-innovation,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-circular-economy-for-renewable-energy-technologies,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-circular-strategies-for-sustainable-healthcare,
